,Time (s),A (units),B (units)
0,0.0,10.0,0.0
1,0.1,10.03669642956061,0.06330357043938796
2,0.2,10.073277209631962,0.12672279036803583
3,0.30000000000000004,10.109742914920538,0.1902570850794589
4,0.4,10.146094113682002,0.25390588631799543
5,0.5,10.182331369004563,0.3176686309954344
6,0.6000000000000001,10.218455239551618,0.3815447604483798
7,0.7000000000000001,10.254466279561747,0.4455337204382508
8,0.8,10.290365038848716,0.5096349611512817
9,0.9,10.326152062801476,0.5738479371985221
10,1.0,10.361827892384161,0.6381721076158364
11,1.1,10.397393064136093,0.7026069358639048
12,1.2000000000000002,10.432848110171777,0.7671518898282218
13,1.3,10.468193558180902,0.8318064418190975
14,1.4000000000000001,10.503429931428341,0.8965700685716573
15,1.5,10.538557748754156,0.9614422512458417
16,1.6,10.573577524573594,1.026422475426406
17,1.7000000000000002,10.608489768877078,1.091510231122921
18,1.8,10.643295002794076,1.1567049972059222
19,1.9000000000000001,10.677993842715976,1.222006157284022
20,2.0,10.712586792467734,1.2874132075322626
21,2.1,10.747074326010004,1.3529256739899926
22,2.2,10.781456914806473,1.4185430851935252
23,2.3000000000000003,10.815735027823857,1.4842649721761407
24,2.4000000000000004,10.849909131531913,1.550090868468085
25,2.5,10.883979689903427,1.61602031009657
26,2.6,10.917947164414223,1.6820528355857747
27,2.7,10.951812014043155,1.748187985956843
28,2.8000000000000003,10.985574695272113,1.814425304727885
29,2.9000000000000004,11.01923566208602,1.8807643379139778
30,3.0,11.052795365972834,1.9472046340271634
31,3.1,11.086254255923546,2.0137457440764512
32,3.2,11.119612778432183,2.0803872215678156
33,3.3000000000000003,11.152871377495801,2.147128622504197
34,3.4000000000000004,11.186030494614494,2.2139695053855033
35,3.5,11.21909056879139,2.280909431208607
36,3.6,11.252052036532652,2.3479479634673472
37,3.7,11.284915331847468,2.415084668152529
38,3.8000000000000003,11.317680886248073,2.482319113751924
39,3.9000000000000004,11.350349128749729,2.5496508712502695
40,4.0,11.382920485870729,2.617079514129269
41,4.1000000000000005,11.415395381632406,2.684604618367592
42,4.2,11.447774237559123,2.752225762440874
43,4.3,11.48005747267828,2.819942527321717
44,4.4,11.512245503520308,2.88775449647969
45,4.5,11.544338744118672,2.9556612558813242
46,4.6000000000000005,11.576337606009876,3.023662393990122
47,4.7,11.60824249823345,3.0917575017665486
48,4.800000000000001,11.640053827331961,3.159946172668036
49,4.9,11.671771997351014,3.228228002648983
50,5.0,11.703397409839244,3.296602590160753
51,5.1000000000000005,11.73493046384832,3.3650695361516787
52,5.2,11.766371555932944,3.433628444067054
53,5.300000000000001,11.797721080150854,3.502278919849143
54,5.4,11.828979428062825,3.571020571937174
55,5.5,11.860146988732655,3.6398530112673413
56,5.6000000000000005,11.89122414872719,3.708775851272807
57,5.7,11.9222112921163,3.7777887078836967
58,5.800000000000001,11.953108800472892,3.8468911995271062
59,5.9,11.983917052872906,3.9160829471270917
60,6.0,12.014636425895318,3.985363574104678
61,6.1000000000000005,12.045267293622137,4.05473270637786
62,6.2,12.075810027638406,4.1241899723615925
63,6.300000000000001,12.106264997032198,4.1937350029677996
64,6.4,12.136632568394628,4.263367431605371
65,6.5,12.166913105819836,4.333086894180161
66,6.6000000000000005,12.197106970905002,4.402893029094995
67,6.7,12.22721452275034,4.472785477249657
68,6.800000000000001,12.257236117959096,4.542763882040903
69,6.9,12.287172110637545,4.612827889362452
70,7.0,12.317022852395006,4.6829771476049915
71,7.1000000000000005,12.346788692343825,4.753211307656174
72,7.2,12.376469977099383,4.823530022900615
73,7.300000000000001,12.406067050780097,4.893932949219901
74,7.4,12.435580255007416,4.964419744992583
75,7.5,12.465009928905822,5.0349900710941755
76,7.6000000000000005,12.494356409102833,5.105643590897164
77,7.7,12.523620029729003,5.176379970270995
78,7.800000000000001,12.552801122417915,5.247198877582084
79,7.9,12.581900016306186,5.318099983693813
80,8.0,12.61091703803347,5.389082961966526
81,8.1,12.639852511742458,5.460147488257539
82,8.200000000000001,12.668706759078866,5.531293240921133
83,8.3,12.69748009919145,5.602519900808548
84,8.4,12.726172848731998,5.673827151267998
85,8.5,12.754785321855335,5.745214678144661
86,8.6,12.783317830219318,5.816682169780679
87,8.700000000000001,12.81177068298483,5.888229317015165
88,8.8,12.840144186815806,5.959855813184194
89,8.9,12.868438645879195,6.031561354120802
90,9.0,12.896654361844993,6.103345638155004
91,9.1,12.924791633886226,6.17520836611377
92,9.200000000000001,12.952850758678956,6.2471492413210425
93,9.3,12.980832030402272,6.319167969597725
94,9.4,13.008735740738304,6.391264259261693
95,9.5,13.036562178872215,6.463437821127782
96,9.600000000000001,13.064311631492199,6.535688368507798
97,9.700000000000001,13.091984382789487,6.608015617210511
98,9.8,13.119580714458339,6.6804192855416575
99,9.9,13.147100905696055,6.752899094303941
100,10.0,13.174545233202966,6.82545476679703
